Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2021-08-19,407.3898620605469,1179.05029296875,3490.358154296875,5655.146484375,2509.132568359375,2250.608642578125,7302.10888671875,1149.9671630859375,8009.28759765625,2741.65380859375,2226.5478515625,11316.8056640625
2021-08-20,397.9523010253906,1236.5650634765625,3456.470947265625,5655.146484375,2541.466796875,2269.844482421875,7302.10888671875,1191.3660888671875,8251.3271484375,2749.7412109375,2232.76708984375,11140.8935546875
2021-08-23,413.6816711425781,1150.2930908203125,3456.470947265625,5646.5771484375,2560.866943359375,2298.69873046875,7369.3056640625,1195.9659423828125,8405.3515625,2782.09130859375,2201.669677734375,11155.5546875
2021-08-24,396.3793640136719,1241.35791015625,3439.52783203125,5655.146484375,2515.599853515625,2240.99072265625,7346.9072265625,1191.3660888671875,8251.3271484375,2749.7412109375,2139.475830078125,11038.2822265625
2021-08-25,394.806396484375,1217.393310546875,3490.358154296875,5655.146484375,2515.599853515625,2289.08056640625,7369.3056640625,1232.764892578125,8295.333984375,2725.47900390625,2139.475830078125,11214.19140625
2021-08-26,402.671142578125,1226.97900390625,3456.470947265625,5620.8720703125,2502.66552734375,2240.99072265625,7369.3056640625,1237.36474609375,7723.24169921875,2717.391357421875,2133.2568359375,11302.142578125
2021-08-27,391.6605529785156,1236.5650634765625,3422.58447265625,5578.0302734375,2483.26513671875,2231.37255859375,7436.50341796875,1255.76416015625,7789.251953125,2685.041259765625,2083.50146484375,11419.416015625
2021-08-30,408.9628601074219,1274.907958984375,3575.075439453125,5625.15576171875,2547.933837890625,2289.08056640625,7705.29248046875,1283.36328125,8031.29052734375,2749.7412109375,2151.914794921875,11727.2578125
2021-08-31,396.3793640136719,1294.07958984375,3541.18896484375,5612.3037109375,2541.466796875,2346.78857421875,7548.4990234375,1237.36474609375,8141.30859375,2749.7412109375,1952.893798828125,11771.2333984375
2021-09-01,415.2545471191406,1246.1507568359375,3507.302001953125,5625.15576171875,2515.599853515625,2308.31640625,7526.099609375,1255.76416015625,7943.27734375,2701.21630859375,1909.3577880859375,11756.5751953125
2021-09-02,415.2545471191406,1250.943603515625,3558.13232421875,5603.7353515625,2502.66552734375,2327.552490234375,7570.8984375,1274.16357421875,8053.29443359375,2725.47900390625,1890.6995849609375,11917.82421875
2021-09-03,426.2651062011719,1294.07958984375,3625.906005859375,5655.146484375,2541.466796875,2356.406494140625,7593.29736328125,1324.76220703125,8097.30126953125,2741.65380859375,1878.2608642578125,12533.5068359375
2021-09-06,429.4110107421875,1289.2867431640625,3676.736328125,5633.724609375,2489.732421875,2385.260498046875,7638.09521484375,1361.56103515625,8097.30126953125,2741.65380859375,1840.9443359375,12753.392578125
2021-09-07,423.1192321777344,1294.07958984375,3625.906005859375,5629.44091796875,2528.533447265625,2404.49658203125,7743.796875,1343.16162109375,7855.2626953125,2733.56640625,1772.53076171875,12636.123046875
2021-09-08,418.4004821777344,1294.07958984375,3558.13232421875,5518.0517578125,2653.38916015625,2404.49658203125,7743.796875,1343.16162109375,7525.21044921875,2693.12890625,1735.2144775390625,12254.9833984375
2021-09-09,429.4110107421875,1303.665283203125,3693.680419921875,5629.44091796875,2653.38916015625,2442.96826171875,7835.71142578125,1370.760986328125,7701.23828125,2741.65380859375,1704.117431640625,12782.7109375
2021-09-10,424.692138671875,1308.4581298828125,3676.736328125,5586.59912109375,2688.95703125,2385.260498046875,7812.73291015625,1352.3614501953125,7833.2587890625,2693.12890625,1791.18896484375,12445.5537109375
